############ tt-always ############
engine   snapshots/tt-always
depth    10 fixed, clock 3600000 ms (time is not a factor)
sampling every 5 plies, table NEVER cleared

  ply  depth       nodes    EBF     occ%    sec  position
 2215     10   2,000,720   4.27  100.000   0.96  1r3r1k/p5bp/2p5/2NppP1q/8/4B2P/bPPQ1RBK/
 2220     10   1,387,674   4.11  100.000   0.69  1r3r1k/p2N1qbp/2B5/4pPB1/3p4/7P/bPPQ1R1K
 2225     10   1,155,148   4.04  100.000   0.45  1r3r1k/p2N1qbp/2B2P2/8/8/4p2P/bPPQ1R1K/6
 2230     10   3,176,960   4.47  100.000   1.31  5r1k/p2N2qp/2B5/8/8/4Q2P/bPP4K/6R1 b - -
 2235     10     682,386   3.83  100.000   0.23  7k/p2N2rp/2B5/8/8/1b2Q2P/2P4K/8 w - - 0 
 2240     10       9,255   2.49  100.000   0.00  8/p2B2kp/8/4Q3/8/1P5P/7K/8 b - - 2 40
 2245     10   2,705,182   4.40  100.000   0.91  4B2k/p6p/4Q3/8/8/1P5P/7K/8 w - - 7 43
 2250     10   1,303,545   4.09  100.000   0.54  r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/5N1P/PP2
 2255     10   3,268,493   4.48  100.000   1.46  r3k2r/pp1bbppp/1qn1p3/3pPn2/3P4/5N1P/PPN
 2260     10   1,473,374   4.14  100.000   0.62  2kr3r/pp1bbpp1/1qn1p2p/3pPn2/3P4/P4N1P/1
 2265     10   1,628,872   4.18  100.000   0.74  1k1r3r/1p1bbpp1/1qn1p2p/3pPn2/p2P1B2/P2Q
 2270     10   1,464,214   4.14  100.000   0.65  1k1rr3/1p1bbpp1/1qn1p2p/3pPn2/3P1B2/PR1Q
 2275     10   3,341,116   4.49  100.000   1.50  1kbrr3/1pq1bpp1/2n1p2p/3pP3/3P1BPn/PR1Q1
 2280     10   1,452,616   4.13  100.000   0.64  1kbrr3/1pq2pp1/4p2p/3pP3/1R1P1BPb/P2Q3P/
 2285     10     564,265   3.76  100.000   0.21  1kbrr3/1pq3p1/4pp2/3pP1p1/1R1P2P1/P3Q2P/
 2290     10     318,056   3.55  100.000   0.15  1kbrr3/1p3qp1/4p3/3pPPp1/1R1P4/P5QP/4BP2
 2295     10   1,700,097   4.20  100.000   0.73  1kbr4/1p2r1p1/4p3/2QpP1p1/1R1P1q2/P6P/4B
 2300     10     967,884   3.97  100.000   0.48  1kbr4/5rp1/4p3/1BQpP1p1/R2P1q2/P6P/5P2/5
 2305     10   1,528,140   4.15  100.000   0.65  1kb2q2/1r4p1/2Brp3/Q2pP1p1/R2P4/P6P/5P2/
 2310     10   1,558,324   4.16  100.000   0.61  5Q2/1bk3p1/3rp3/3pP1p1/R2P4/P6P/5P2/5RK1
 2315     10   2,159,733   4.30  100.000   0.80  5Q2/2k3p1/2b1p3/3pP1p1/R2P4/P6P/5P2/6K1 
 2320     10          53   1.49  100.000   0.00  8/1k4p1/3Qp3/1R1pP1p1/3P4/P6P/5P2/6K1 b 
 2325     10   1,202,514   4.06  100.000   0.51  r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NPB1P1
 2330     10     894,343   3.94  100.000   0.42  1rbq1rk1/pp3pbp/2npp1pn/2p5/4PP2/2NPB1PP
 2335     10   1,511,683   4.15  100.000   0.65  1rbq1rk1/pp4bp/3pp1pn/2p2p2/3nPP2/2NPB1P
 2340     10   1,031,727   3.99  100.000   0.47  1rb2rk1/6bp/1q1pp1pn/ppp2p2/1P1nPP2/P1NP
 2345     10   1,340,961   4.10  100.000   0.59  1r3rk1/1b4bp/1q1pp1pn/1pp2p2/1P1nPP2/3PB
 2350     10   1,054,710   4.00  100.000   0.49  1r3rk1/1b4bp/3pp1pn/1pp2p2/qP2PP2/1nPPB1
 2355     10   3,352,069   4.49  100.000   1.53  1r3rk1/1b4bp/3Rp1pn/5p2/qPp1PP2/1nP1B1PP
 2360     10   2,966,587   4.44  100.000   1.42  1r3rk1/6bp/4R1p1/3b1n2/qPp1pP2/1nP3PP/NK
 2365     10          25   1.38  100.000   0.00  1r3rk1/6bp/6p1/3BRn2/q1p2P2/1nP3PP/NKQ1N
 2370     10   1,326,156   4.10  100.000   0.60  1r3r1k/6bp/6p1/3BR3/qNp1nP2/1nP3PP/1K2N3
 2375     10   6,596,680   4.81  100.000   2.71  5r1k/6bp/6p1/4R3/1qp1BP2/1n4PP/K3N3/2B1R
 2380     10         497   1.86  100.000   0.00  1r5k/7p/6p1/4P3/2p1B3/Bn4PP/K2qN3/4R3 w 
 2385     10   4,505,945   4.63  100.000   1.55  7k/1r5p/6p1/4P3/1Bp5/6PP/3qN3/1Kn1R3 b -

475 samples at fixed depth 10
total nodes      688,874,240
mean nodes       1,450,262
mean EBF         3.637
final occupancy  100.000%

checkpoints:
  ply 100  nodes      17,967  EBF 2.66  occupancy 26.959%
  ply 200  nodes       1,825  EBF 2.12  occupancy 29.382%
  ply 300  nodes   2,574,994  EBF 4.38  occupancy 70.359%

wrote runs/2026-09-10-v12/tt-always-full.csv
############ tt-depth ############
engine   snapshots/tt-depth
depth    10 fixed, clock 3600000 ms (time is not a factor)
sampling every 5 plies, table NEVER cleared

  ply  depth       nodes    EBF     occ%    sec  position
    0     10   1,274,719   4.08    0.788   0.61  r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2
    5     10     516,397   3.73    3.944   0.21  r1bqr1k1/p1pp1pp1/2p2n1p/6B1/1b2P3/2NB4/
   10     10     348,284   3.58    5.325   0.14  r1bqr1k1/p1pp1p2/2p2n1p/6p1/4P3/2PB2B1/P
   15     10   1,740,817   4.21    9.768   0.67  r1bqr1k1/p1p2p2/2p4p/3p3Q/4nPp1/2PB2B1/P
   20     10     529,113   3.74   11.749   0.22  r1b1r1k1/p4p2/2pp4/3p1P2/4n1p1/2PB2B1/P1
   25     10     952,835   3.96   14.192   0.38  r1b1r3/5pk1/2pp1n2/p2p1P2/5RpB/2PB4/P1P3
   30     10     161,868   3.32   14.749   0.06  r3r3/5p2/b1pp1k2/p2p1P2/6R1/2PB4/P1P3PP/
   35     10     889,904   3.93   16.440   0.36  1r6/5p2/2pp1k2/p2p1P2/6R1/2PPr3/P5PP/3R2
   40     10     515,503   3.73   18.022   0.21  8/5p2/3p1k2/p1pp1P2/6RP/2PPr3/P2R2PK/1r6
   45     10     422,678   3.65   19.229   0.17  8/5p2/3p4/R1pp4/6kP/2PPr3/P2R2PK/5r2 w -
   50     10     219,348   3.42   20.606   0.09  6R1/5p2/3p4/2pp4/7k/2PPr3/P2R2PK/5r2 b -
   55     10      48,514   2.94   22.182   0.02  6R1/5p2/3p4/2pp3k/8/2PP2PK/P2R4/4r2r w -
   60     10     116,868   3.21   23.147   0.05  6R1/5p2/3p4/2pp3k/P7/2PP1KP1/3R4/4r1r1 b
   65     10     258,661   3.48   23.485   0.10  6R1/5p2/3p4/2pp3k/P7/2PP2P1/5K2/2r5 w - 
   70     10     282,929   3.51   24.080   0.11  R7/5p2/P2p4/2pp3k/8/r2P2P1/5K2/8 b - - 2
   75     10     143,177   3.28   24.876   0.06  R7/P4p2/3p1k2/3p4/2p5/r2P2P1/4K3/8 w - -
   80     10     158,372   3.31   25.296   0.06  R7/P4p2/5k2/3p4/2p5/r5P1/8/2K5 b - - 1 4
   85     10      49,271   2.95   25.602   0.02  8/2r2p2/5k2/8/2pR4/6P1/8/2K5 w - - 1 50
   90     10      69,988   3.05   25.730   0.03  8/2r5/8/4kp2/2p2R2/2K3P1/8/8 b - - 1 52
   95     10      30,918   2.81   25.904   0.01  8/8/8/5p2/1Kp1k1r1/5RP1/8/8 w - - 6 55
  100     10      19,625   2.69   26.176   0.01  8/8/8/5pr1/1Kpk4/2R3P1/8/8 b - - 11 57
  105     10      51,975   2.96   26.210   0.02  8/8/8/3k1p2/1Kp3r1/R5P1/8/8 w - - 16 60
  110     10     100,131   3.16   26.433   0.03  8/8/8/5pr1/2p1k3/K1R3P1/8/8 b - - 21 62
  115     10      10,069   2.51   26.473   0.00  8/8/8/5pr1/1Kp1k3/5RP1/8/8 w - - 26 65
  120     10         151   1.65   26.487   0.00  8/8/8/5pr1/1Kp1k3/R5P1/8/8 b - - 31 67
  125     10     156,907   3.31   26.820   0.06  2r5/8/8/1K1k1p2/8/R5P1/8/8 w - - 3 70
  130     10     167,965   3.33   27.008   0.06  2r5/8/8/1K2kp2/8/5RP1/8/8 b - - 8 72
  135     10      37,498   2.87   27.026   0.01  8/8/8/1K2kp2/8/5RP1/8/2r5 w - - 13 75
  140     10       1,027   2.00   27.086   0.00  8/8/1K6/4kp2/8/5RP1/8/2r5 b - - 18 77
  145     10       8,965   2.48   27.108   0.00  8/8/8/2K1kp2/5R2/6P1/8/1r6 w - - 23 80
  150     10     106,222   3.18   27.222   0.04  4R3/8/5k2/2K2p2/8/6P1/8/3r4 b - - 28 82
  155     10     185,133   3.36   27.547   0.07  8/8/8/2K2pk1/8/5RP1/8/3r4 w - - 33 85
  160     10      11,532   2.55   27.736   0.00  8/8/8/5pk1/2K5/5RP1/8/3r4 b - - 38 87
  165     10      39,319   2.88   27.841   0.02  8/8/8/3K1pk1/5R2/6P1/8/2r5 w - - 43 90
  170     10      90,782   3.13   27.975   0.03  8/8/8/3K1p2/6k1/2R3P1/8/4r3 b - - 48 92
  175     10         604   1.90   28.011   0.00  8/8/8/3K1p2/4r1k1/2R3P1/8/8 w - - 53 95
  180     10       1,271   2.04   28.093   0.00  8/8/8/2K2p2/4r1k1/2R3P1/8/8 b - - 58 97
  185     10      18,934   2.68   28.150   0.01  8/8/8/3K1p2/6k1/2R3P1/8/4r3 w - - 63 100
  190     10      51,762   2.96   28.209   0.02  8/8/3K4/5p2/6k1/R5P1/8/4r3 b - - 68 102
  195     10     150,236   3.29   28.459   0.05  8/8/5K2/5p2/6k1/R5P1/8/5r2 w - - 73 105
  200     10       2,304   2.17   28.602   0.00  8/8/8/5K2/8/5kP1/8/8 b - - 0 107
  205     10     654,125   3.82   32.491   0.28  rn1q1rk1/pp2ppbp/6p1/2p5/2BPP1b1/2P1BN2/
  210     10   1,572,853   4.17   37.024   0.64  r4rk1/ppq1ppbp/6p1/2P1n3/2B1P1b1/2P1BN2/
  215     10     618,660   3.79   38.338   0.23  r2r2k1/ppq1ppbp/6p1/2P5/4P1b1/1QP1BB2/P4
  220     10     779,418   3.88   40.409   0.31  rr4k1/p1q1ppbp/1p4p1/2P5/4P3/1QP1BP2/P4P
  225     10     805,301   3.90   41.902   0.34  rr4k1/2q1pp1p/1B4p1/4b3/2P1P3/1Q3P2/P4P1
  230     10   1,419,472   4.12   45.306   0.66  rr4k1/4pp2/1B3qpp/2P1b3/P3P3/1Q3P2/5P1P/
  235     10     647,027   3.81   48.667   0.25  r5k1/3Rpp2/1QP3pp/4b3/P3P2q/5P2/5P1P/1R4
  240     10          10   1.26   50.580   0.00  r5k1/3Rpp2/1QP3pp/8/P3Pb2/5P2/7q/1R4K1 w
  245     10   6,926,182   4.83   57.542   2.88  6k1/1R2pp2/1QP3pp/8/r3Pb2/5P1q/4K3/1R6 b
  250     10          30   1.41   58.480   0.00  6k1/1R2pp2/2P3pp/8/4Pb2/5P2/1Q2K1q1/8 w 
  255     10     190,502   3.37   58.923   0.08  6k1/1R2pp2/2P3pp/8/4Pb2/8/8/3KQ2q b - - 
  260     10         496   1.86   59.647   0.00  6k1/1R2pp2/2P3pp/8/4Pbq1/8/2Q5/3K4 w - -
  265     10     467,212   3.69   60.370   0.20  6k1/1R2pp2/2P3pp/8/4Pb2/4q3/2Q5/3K4 b - 
  270     10   1,414,215   4.12   61.546   0.59  6k1/1Rb1pp2/2P3pp/4q3/4P3/8/2Q1K3/8 w - 
  275     10   1,582,058   4.17   63.472   0.67  6k1/R1b1pp2/2P3p1/7p/3QPq2/8/4K3/8 b - -
  280     10         488   1.86   64.829   0.00  6k1/R3pp2/2P3p1/4b2p/4P3/3KQ3/8/3q4 w - 
  285     10   1,311,680   4.09   65.585   0.53  6k1/R3pp2/2P3p1/4b2p/K3P3/4Q3/1q6/8 b - 
  290     10     802,796   3.89   66.587   0.33  8/2R1ppk1/2P3p1/7p/K2bP3/1Q6/8/2q5 w - -
  295     10   1,378,278   4.11   68.037   0.58  2RQ4/4ppk1/2P3p1/4b3/K3P2p/8/8/2q5 b - -
  300     10   2,415,769   4.35   69.480   1.10  2RQ4/4pp2/2P2kp1/1K2b3/4P2p/2q5/8/8 w - 
  305     10   1,192,521   4.05   71.119   0.46  2R2Q2/4pp2/K1P3p1/4b1k1/4P2p/1q6/8/8 b -
  310     10     909,520   3.94   71.518   0.37  2R2Q2/4pp2/K1P3p1/6k1/1q1bP2p/8/8/8 w - 
  315     10         121   1.62   72.310   0.00  1R6/4pp2/K1P3p1/Q5k1/q2bP3/7p/8/8 b - - 
  320     10     121,578   3.22   72.473   0.05  8/4pp2/2P3p1/K3b1k1/4P3/8/7p/1R6 w - - 2
  325     10     146,389   3.29   72.578   0.05  8/2K1pp2/6p1/8/4P2k/8/7p/1R6 b - - 0 70
  330     10      93,505   3.14   72.690   0.03  7R/2K1pp2/8/8/4P1p1/6k1/7p/8 w - - 2 73
  335     10      59,109   3.00   72.776   0.02  8/3K1p1R/4p3/4P3/6p1/8/6kp/8 b - - 1 75
  340     10   1,336,393   4.10   73.367   0.49  8/5R2/4K3/4P3/7q/6p1/6k1/8 w - - 1 78
  345     10     310,379   3.54   73.945   0.11  6R1/8/8/3KP3/7q/8/6p1/7k b - - 1 80
  350     10     113,806   3.20   75.145   0.04  8/3q4/8/4P3/4K3/6R1/8/6qk w - - 0 83
  355     10   tablebase          75.160   0.02  (root probe answered, no tree)
  360     10     302,821   3.53   75.217   0.08  8/8/4P3/5q2/3K4/8/8/5k2 w - - 5 88
  365     10   tablebase          75.246   0.02  (root probe answered, no tree)
  370     10     171,938   3.34   75.290   0.04  8/4q3/8/3K4/8/2k5/8/8 w - - 6 93
  375     10   tablebase          75.300   0.01  (root probe answered, no tree)
  380     10     392,098   3.63   76.026   0.18  r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N2N2/P
  385     10     462,180   3.69   76.994   0.17  r1bq1rk1/pp1n1pbp/2p2np1/4p3/4PB1P/2N2N2
  390     10     797,503   3.89   77.743   0.34  r1b2rk1/pp1nqpbp/2p3p1/4p1B1/4P1nP/P1N2N
  395     10     264,802   3.49   78.235   0.09  r1b2rk1/pp2qpb1/2p2np1/4p1p1/4P1BP/P1N5/
  400     10     842,062   3.91   78.452   0.36  2r2rk1/pp2qpbn/2p3p1/4p1P1/4P3/P1NN4/1PP
  405     10   1,318,278   4.09   79.713   0.59  2r2rk1/pp3pb1/2p1n1p1/4p3/4P1Pq/P1NN1P2/
  410     10   2,816,876   4.42   80.699   1.11  2r2rk1/pp3pb1/2p3p1/4p3/3nP1P1/P1NN1P1q/
  415     10     770,859   3.88   82.366   0.33  3rr1k1/p4pb1/1pp3p1/4p3/NP1nP1P1/P2N1P1q
  420     10   4,096,676   4.58   83.702   1.62  3rr1k1/p4p2/1pp3p1/4p1b1/1PPnP1P1/P1N2P1
  425     10   1,179,521   4.05   85.722   0.52  3rr1k1/5p2/1pp3p1/p3p3/PPPnPbP1/2NR1P1q/
  430     10   1,046,988   4.00   87.043   0.40  3rr1k1/5p2/1p4p1/pP2p3/P2nP1P1/2NR1Pbq/6
  435     10   1,229,424   4.06   87.616   0.53  3rr1k1/5p2/1p4p1/pP1Np1n1/P3P1Pq/3R1Pb1/
  440     10     181,394   3.36   87.702   0.07  3rr1k1/5p2/1p4p1/pP1Np3/P3P1Pq/3R1P1Q/2N
  445     10     335,292   3.57   87.928   0.14  3rr3/5pk1/1p4p1/pP1Np3/P3P1P1/3R1P1q/2N2
  450     10       4,444   2.32   88.044   0.00  3rr3/5pk1/1p4p1/pP1Np3/P3P1P1/3R1P1q/2N4
  455     10     631,423   3.80   88.138   0.25  3rr3/5pk1/1p4p1/pP1Np1q1/P3P1P1/3R1P2/2N
  460     10     716,604   3.85   88.632   0.30  1r6/2R2pk1/1p1r2p1/pP1Np1q1/P3P1P1/4NP2/
  465     10     983,208   3.97   89.013   0.37  3q4/1r4k1/1p1r1pp1/pP1Np3/P3P1P1/4NP1R/2
  470     10          20   1.35   89.228   0.00  6q1/1r1r2kR/1p3pp1/pP1Np3/P3P1P1/4NP2/7R
  475     10     117,724   3.21   89.253   0.04  8/1r1r4/1p3Npk/pP2p3/P3P1P1/4NP2/8/6K1 w
  480     10      73,562   3.07   89.275   0.03  8/3r4/1N4p1/pP2p1k1/P3P1P1/5P2/8/6K1 b -
  485     10     130,294   3.25   89.324   0.05  8/8/6p1/pP1Np1k1/r3P1P1/5P2/8/5K2 w - - 
  490     10     127,989   3.24   89.379   0.05  8/2N5/1P4p1/4p1k1/p3P1P1/r4P2/4K3/8 b - 
  495     10      22,834   2.73   89.419   0.01  8/8/1P4p1/2N1p3/p3P1Pk/5P2/1r2K3/8 w - -
  500     10      27,087   2.78   89.436   0.01  8/8/1P4p1/4p3/4P1Pk/3K1P2/pN6/8 b - - 0 
  505     10     122,132   3.23   89.483   0.05  8/1q6/6p1/4p3/4P1Pk/5P2/1NK5/8 w - - 0 7
  510     10     436,978   3.66   89.595   0.16  8/1q6/6p1/4p1P1/4P3/5P2/2KN1k2/8 b - - 0
  515     10      69,043   3.05   89.670   0.03  8/8/6p1/4p1P1/1q1kP3/N4P2/2K5/8 w - - 5 
  520     10      31,340   2.82   89.705   0.01  8/8/6p1/4p1P1/q3P3/N2k1P2/1K6/8 b - - 10
  525     10      79,917   3.09   89.720   0.03  8/8/6p1/4p1P1/1q2PP2/N7/K7/2k5 w - - 1 8
  530     10     814,492   3.90   89.813   0.25  8/8/6p1/4P1P1/2q1P3/K7/2k5/8 b - - 0 82
  535     10          10   1.26   90.228   0.00  r1bQk2r/ppp2ppp/2p2n2/1Bb5/4P3/2P5/PP3PP
  540     10     400,034   3.63   90.459   0.16  r2kr3/ppp2ppp/2p2n2/2b2b2/4P3/2PB4/PP1N1
  545     10   1,120,564   4.03   90.827   0.46  r2kr3/ppp2ppp/1bp2nb1/8/P3P3/1NPB1P2/1P4
  550     10     318,113   3.55   91.178   0.13  r1k1r3/1pp2pp1/1bp2nbp/p5B1/P3P2P/1NPB1P
  555     10     745,256   3.87   91.318   0.32  r1k1r3/1pp2p1b/1bp2p1p/p6P/P3P3/1NPB1P2/
  560     10     639,082   3.81   91.456   0.27  r1k3r1/1pp2p1b/2p2p1p/p6P/P1B1P3/1NP1bP2
  565     10     257,730   3.48   91.575   0.10  r1k2r2/1pp2p1b/2p2p1p/p6P/P1B1PbP1/1NPR1
  570     10     793,562   3.89   91.765   0.32  r4r2/1kp2p1b/1pN2p1p/p1p4P/P1B1PbP1/2PR1
  575     10     714,759   3.85   91.941   0.30  2k1rr2/2p2p1b/1pN2p1p/2pB3P/P3PbP1/2PR1P
  580     10     621,946   3.80   92.065   0.24  k2Nrrb1/2p2p2/1p3p1p/2p4P/P1B1PbP1/2PR1P
  585     10     131,473   3.25   92.198   0.05  k3rr2/2pR1N2/1p3p1p/2p4P/P3P1P1/2P2Pb1/1
  590     10     315,517   3.55   92.318   0.11  1k2rr2/2pR1N2/1p3p1p/7P/PP2PbP1/5P2/2K5/
  595     10   2,175,583   4.30   92.565   0.90  1k3r2/2pR1N2/4rp1p/P6P/4PbP1/1K3P2/8/3R4
  600     10     428,352   3.66   92.772   0.17  3Nrr2/2pR4/k4p1p/P6P/2K1PbP1/5P2/8/3R4 w
  605     10   1,459,678   4.13   92.985   0.60  r4r2/1kpR4/5p1p/P2N3P/2K1PbP1/5P2/8/3R4 
  610     10   1,381,884   4.11   93.402   0.56  r4r2/1kpR4/5p1p/P2Nb2P/K3P1P1/5P2/8/3R4 
  615     10     203,858   3.40   93.576   0.09  N4r2/1kpR4/5p1p/P6P/K3PbP1/8/8/3R4 b - -
  620     10     530,663   3.74   93.714   0.21  3R4/1kp5/r4p1p/P6P/K3P1P1/4b3/8/5R2 w - 
  625     10     118,651   3.22   93.776   0.05  1R1R4/2p5/r1k2p1p/P5bP/K3P1P1/8/8/8 b - 
  630     10     167,615   3.33   93.833   0.07  4R3/2p5/r1k2p1p/P2R3P/K3PbP1/8/8/8 w - -
  635     10     149,978   3.29   93.846   0.06  8/2p5/k4p1p/P4R1P/K3PbP1/8/8/8 b - - 1 5
  640     10      44,676   2.92   93.857   0.02  8/k1p5/P4R1p/7P/K3P1P1/8/8/2b5 w - - 1 6
  645     10      37,678   2.87   93.868   0.02  8/k1p5/P4R1p/1K5P/4PbP1/8/8/8 b - - 6 63
  650     10      33,363   2.83   93.885   0.01  8/k1p1b3/P6p/1K3R1P/4P3/8/8/8 w - - 2 66
  655     10       4,991   2.34   93.896   0.00  8/k1p1bR2/P6p/1K5P/4P3/8/8/8 b - - 7 68
  660     10      73,914   3.07   93.903   0.02  8/k7/P1K2R1p/7P/4P3/b7/8/8 w - - 1 71
  665     10      40,231   2.89   93.917   0.01  8/5R2/k1K1P2p/7P/1b6/8/8/8 b - - 0 73
  670     10  11,966,700   5.10   94.587   3.87  4Q3/5R2/2K4p/7P/k7/2b5/8/8 w - - 1 76
  675     10     686,277   3.83   94.800   0.22  8/1R6/1QK4p/7P/k7/2b5/8/8 b - - 6 78
  680     10     843,939   3.91   94.955   0.37  r1bqk2r/pppp1ppp/5n2/1B2p3/1b1nP3/2NP1N2
  685     10   8,039,242   4.90   95.376   3.41  r1bqk2r/p1p2ppp/5n2/1p1PN3/1bBn4/2NP4/PP
  690     10   2,041,152   4.28   95.611   0.87  r1b1k2r/p1p1qppp/3b1n2/3PN3/2Pn4/2N5/PPP
  695     10     554,786   3.75   95.739   0.21  r1b2rk1/p1p1qppp/3b1nN1/3P1n2/2P2B2/2N5/
  700     10   1,575,279   4.17   95.815   0.66  r1b2qk1/p1p2pp1/5np1/3P1n2/2P5/2N5/PPP2P
  705     10     430,273   3.66   95.961   0.17  r1b3k1/2p2pp1/p2q1np1/3P1n2/P1P1N3/1P6/2
  710     10     695,019   3.84   96.071   0.31  5rk1/2pb1pp1/p2q2p1/3P1n2/P1P1R3/1P6/2PQ
  715     10   1,096,874   4.02   96.245   0.49  3r2k1/2pb1pp1/p4qp1/2PP1n2/P3R3/1P5P/2PQ
  720     10     477,468   3.70   96.311   0.20  1r4k1/5pp1/p1pPbqp1/2P2n2/P1P1R3/1P5P/3Q
  725     10     935,607   3.95   96.432   0.41  3r2k1/3b1pp1/p1pP1qp1/P1P1Rn2/1PP5/7P/3Q
  730     10   1,175,525   4.05   96.558   0.49  1r6/3b1ppk/p1pP1qp1/P1P1R3/1PP1R2n/2Q4P/
  735     10     155,092   3.30   96.660   0.06  1r4k1/5pp1/p1pPbqp1/P1P1R1P1/1PP1RP1n/2Q
  740     10   1,445,165   4.13   96.734   0.64  1r1q2k1/6p1/p1pPR1p1/P1P2nP1/1PP2P2/2Q4P
  745     10     260,563   3.48   96.775   0.11  1r6/3q2pk/p1pP2p1/P1P2nP1/1PP2P2/2Q4P/7K
  750     10     269,041   3.49   96.825   0.10  3r4/5qpk/p1pn2p1/P1P3P1/1PP2P2/2Q4P/8/4R
  755     10     242,258   3.45   96.867   0.13  8/3q2pk/p1pr2p1/P5P1/1PP2P2/2Q1R2P/8/7K 
  760     10     151,523   3.30   96.895   0.06  8/6pk/p1p3p1/P1Pq2P1/1P1r1P2/2Q2R1P/8/7K
  765     10     242,605   3.46   96.915   0.10  8/6pk/p1p3p1/P1P3P1/3Q1P2/5q1P/7K/8 b - 
  770     10     342,931   3.58   96.935   0.14  8/6pk/p1p3p1/q1P3P1/3Q1P2/5K1P/8/8 w - -
  775     10     322,894   3.56   96.965   0.14  8/6pk/p1p1Q1p1/2P3P1/5P2/5K1P/7q/8 b - -
  780     10     477,517   3.70   97.038   0.21  8/6pk/2p3p1/2P3P1/5P2/p2Q1K1P/7q/8 w - -
  785     10     613,120   3.79   97.120   0.28  8/6pk/2p3p1/2P3P1/3Q1P2/5K1P/p1q5/8 b - 
  790     10     338,626   3.57   97.156   0.12  8/6pk/2p3p1/2P3P1/5P2/6KP/8/q7 w - - 0 6
  795     10     808,374   3.90   97.197   0.27  8/6pk/2p3p1/2P3P1/4qP2/7P/5K2/8 b - - 5 
  800     10     118,729   3.22   97.215   0.03  8/6pk/2p3p1/2P3P1/8/3K3q/8/8 w - - 0 66
  805     10     542,043   3.74   97.232   0.16  8/6pk/2p3p1/2P3q1/3K4/8/8/8 b - - 1 68
  810     10     304,692   3.53   97.251   0.09  8/6pk/2p5/2P5/5qp1/2K5/8/8 w - - 0 71
  815     10  19,659,717   5.36   97.625   5.92  8/6pk/2p5/2P5/5q2/3K4/6p1/8 b - - 1 73
  820     10   2,796,150   4.41   97.952   1.17  rnbqk2r/pp2bppp/3pp3/3nP3/2BP4/5N2/PP3PP
  825     10     776,361   3.88   98.032   0.35  rnb1k2r/ppq1bppp/3pp3/4P3/2BP4/1QP2N2/P4
  830     10     958,727   3.96   98.098   0.42  r1b1k2r/ppq1bppp/4p3/4n3/2BP4/1QP2N2/P4P
  835     10     812,576   3.90   98.228   0.34  r1b2k1r/ppq2ppp/3bp3/1B6/2NP4/1QP5/P4PPP
  840     10       2,900   2.22   98.276   0.00  r1b2k1r/pp3ppp/4p3/1B6/2NP4/1QP3q1/P7/R3
  845     10   3,262,599   4.48   98.457   1.47  r1b2k1r/pp3pp1/4p3/1B2N2p/3P4/1QP5/P5q1/
  850     10   1,405,437   4.12   98.571   0.58  r1b3kr/pp4p1/4p3/1B2NR2/P2P3p/1QP5/6q1/R
  855     10     554,811   3.75   98.608   0.22  r1b3kr/pp4p1/4p3/3qN3/P1BP3p/1QP5/R7/3K1
  860     10   1,539,993   4.16   98.687   0.61  r1b4k/pp2q1p1/4p3/8/P1BP3p/1QP5/R7/3K1R2
  865     10     295,794   3.52   98.728   0.13  1r5k/pp2q1p1/4Q3/8/P2P3p/2P5/4R3/3K1R2 b
  870     10     531,847   3.74   98.750   0.19  1r5k/p4Rp1/4R3/8/p2P3p/2P5/8/3K4 w - - 0
  875     10     105,489   3.18   98.760   0.04  7k/R5p1/8/8/p2P4/2P1R2p/2K5/1r6 b - - 3 
  880     10     365,801   3.60   98.776   0.12  7k/R5p1/8/3P4/p7/2PKR2p/8/7r w - - 3 38
  885     10     264,136   3.48   98.795   0.10  6k1/6p1/8/3P4/7R/2PK3R/7p/7r b - - 1 40
  890     10          80   1.55   98.821   0.00  7R/6k1/8/3P2p1/8/2PK4/7R/3r4 w - - 1 43
  895     10      77,867   3.08   98.841   0.03  8/7R/5k1R/3P4/4K1p1/2P5/8/3r4 b - - 3 45
  900     10          64   1.52   98.849   0.00  8/7R/5k2/3P3R/5Kp1/2P5/8/5r2 w - - 8 48
  905     10     212,546   3.41   98.855   0.08  8/7R/5k2/3P3R/4K3/2P5/8/5r2 b - - 4 50
  910     10     805,507   3.90   98.869   0.28  8/7R/5k2/2KP3R/8/2P5/3r4/8 w - - 9 53
  915     10     322,116   3.55   98.884   0.11  8/5R2/4R3/2KP1k2/8/2P5/3r4/8 b - - 14 55
  920     10   1,034,466   3.99   98.905   0.36  8/5R2/3PR3/r1K3k1/2P5/8/8/8 w - - 1 58
  925     10   5,869,241   4.75   98.975   1.88  8/2KP1R2/4R3/6k1/2P5/8/8/3r4 b - - 2 60
  930     10   1,961,552   4.26   99.049   0.65  8/2KP1R2/6k1/3R4/2P5/8/8/r7 w - - 7 63
  935     10     120,407   3.22   99.081   0.04  3Q4/2K2k2/8/5R2/2P5/8/8/r7 b - - 2 65
  940     10   1,764,638   4.21   99.100   0.56  6k1/2K5/5Q2/7R/2P5/8/8/r7 w - - 7 68
